,Nurse,2023-02-01-mañana,2023-02-01-tarde,2023-02-02-mañana,2023-02-02-tarde,2023-02-03-mañana,2023-02-03-tarde,2023-02-04-mañana,2023-02-04-tarde,2023-02-05-mañana,2023-02-05-tarde,2023-02-06-mañana,2023-02-06-tarde,2023-02-07-mañana,2023-02-07-tarde,2023-02-08-mañana,2023-02-08-tarde,2023-02-09-mañana,2023-02-09-tarde,2023-02-10-mañana,2023-02-10-tarde,2023-02-11-mañana,2023-02-11-tarde,2023-02-12-mañana,2023-02-12-tarde,2023-02-13-mañana,2023-02-13-tarde,2023-02-14-mañana,2023-02-14-tarde,2023-02-15-mañana,2023-02-15-tarde,2023-02-16-mañana,2023-02-16-tarde,2023-02-17-mañana,2023-02-17-tarde,2023-02-18-mañana,2023-02-18-tarde,2023-02-19-mañana,2023-02-19-tarde,2023-02-20-mañana,2023-02-20-tarde,2023-02-21-mañana,2023-02-21-tarde,2023-02-22-mañana,2023-02-22-tarde,2023-02-23-mañana,2023-02-23-tarde,2023-02-24-mañana,2023-02-24-tarde,2023-02-25-mañana,2023-02-25-tarde,2023-02-26-mañana,2023-02-26-tarde,2023-02-27-mañana,2023-02-27-tarde,2023-02-28-mañana,2023-02-28-tarde,objective_1,objective_2
0,person_9,COM,-,COM,-,-,-,-,-,-,-,-,T2,-,T1,-,T1,-,-,-,T1,-,T1,-,-,COM,-,COM,-,COM,-,M,-,-,-,M,-,-,-,-,T2,-,-,-,-,-,-,-,-,-,T1,-,-,-,-,-,T2,10.0,14.5
1,person_4,-,T1,-,T2,-,CHX,-,-,-,-,-,T2,-,T2,-,-,-,T2,-,CHX,-,-,-,T1,-,CHX,-,-,-,CHX,-,T1,-,T2,-,T1,-,-,-,-,-,-,-,-,-,CHX,-,CHX,-,-,-,T1,-,T1,-,-,10.0,14.5
2,person_7,-,-,-,T1,-,T1,-,-,-,-,-,T1,-,-,-,CHX,-,-,-,CHX,-,-,-,T1,-,-,-,CHX,-,T1,-,-,-,-,-,T1,-,-,-,-,COM,-,COM,-,M,-,M,-,-,-,DISP,-,-,-,-,CHX,10.0,14.5
3,person_6,-,-,-,T2,-,T2,-,T1,-,-,-,T1,-,-,-,T2,-,T1,-,T2,-,-,-,T1,-,T2,-,T1,-,-,-,T1,-,-,-,T1,-,-,-,CHX,-,-,-,T1,-,T2,-,CHX,-,-,-,-,-,T2,-,-,10.0,14.5
4,person_2,M,-,COM,-,M,-,M,-,-,-,-,T2,-,T1,-,-,-,CHX,-,CHX,-,-,-,-,-,-,-,-,-,-,-,-,COM,-,-,-,DISP,-,M,-,M,-,-,-,-,-,M,-,M,-,-,-,COM,-,COM,-,10.0,14.5
5,person_10,-,-,M,-,M,-,-,-,DISP,-,M,-,-,-,COM,-,-,-,M,-,-,-,DISP,-,-,-,-,T2,-,-,-,-,-,CHX,-,-,-,-,COM,-,-,-,M,-,COM,-,COM,-,DISP,-,-,-,-,-,-,-,10.0,14.5
6,person_8,-,-,-,-,COM,-,-,-,M,-,COM,-,-,-,-,-,COM,-,M,-,DISP,-,-,-,-,T1,-,T1,-,-,-,CHX,-,-,-,-,-,T1,-,CHX,-,-,-,T2,-,T2,-,T1,-,-,-,-,-,CHX,-,-,10.0,14.5
7,person_3,-,CHX,-,CHX,-,-,-,-,-,T1,-,-,M,-,M,-,M,-,COM,-,-,-,-,-,-,-,M,-,M,-,COM,-,M,-,-,-,-,-,-,-,-,T1,-,-,-,T1,-,-,-,-,-,-,-,-,-,T1,10.0,14.5
8,person_1,-,-,-,-,-,-,-,-,-,-,M,-,M,-,M,-,M,-,-,-,-,-,M,-,M,-,-,-,-,-,-,-,M,-,-,-,M,-,M,-,M,-,M,-,M,-,-,-,-,-,M,-,M,-,M,-,10.0,14.5
9,person_5,M,-,M,-,-,-,DISP,-,-,-,-,CHX,-,CHX,-,T2,-,-,-,CHX,-,-,-,-,M,-,M,-,M,-,M,-,-,-,DISP,-,-,-,-,T1,-,T2,-,T2,-,-,-,T2,-,-,-,T1,-,T2,-,T1,10.0,14.5
10,person_11,-,T2,-,-,-,T2,-,-,-,-,M,-,COM,-,COM,-,-,-,-,-,M,-,-,-,-,T2,-,T1,-,T2,-,T2,-,T1,-,-,-,T1,-,T1,-,CHX,-,CHX,-,-,-,T1,-,T1,-,-,M,-,M,-,10.0,14.5
