,Nurse,2022-12-01-mañana,2022-12-01-tarde,2022-12-02-mañana,2022-12-02-tarde,2022-12-03-mañana,2022-12-03-tarde,2022-12-04-mañana,2022-12-04-tarde,2022-12-05-mañana,2022-12-05-tarde,2022-12-06-mañana,2022-12-06-tarde,2022-12-07-mañana,2022-12-07-tarde,2022-12-08-mañana,2022-12-08-tarde,2022-12-09-mañana,2022-12-09-tarde,2022-12-10-mañana,2022-12-10-tarde,2022-12-11-mañana,2022-12-11-tarde,2022-12-12-mañana,2022-12-12-tarde,2022-12-13-mañana,2022-12-13-tarde,2022-12-14-mañana,2022-12-14-tarde,2022-12-15-mañana,2022-12-15-tarde,2022-12-16-mañana,2022-12-16-tarde,2022-12-17-mañana,2022-12-17-tarde,2022-12-18-mañana,2022-12-18-tarde,2022-12-19-mañana,2022-12-19-tarde,2022-12-20-mañana,2022-12-20-tarde,2022-12-21-mañana,2022-12-21-tarde,2022-12-22-mañana,2022-12-22-tarde,2022-12-23-mañana,2022-12-23-tarde,2022-12-24-mañana,2022-12-24-tarde,2022-12-25-mañana,2022-12-25-tarde,2022-12-26-mañana,2022-12-26-tarde,2022-12-27-mañana,2022-12-27-tarde,2022-12-28-mañana,2022-12-28-tarde,2022-12-29-mañana,2022-12-29-tarde,2022-12-30-mañana,2022-12-30-tarde,2022-12-31-mañana,2022-12-31-tarde,objective_1,objective_2
0,person_4,M,-,M,-,-,-,M,-,-,T1,-,-,-,CHX,-,T1,-,CHX,-,-,-,-,-,-,-,T2,-,T2,-,T2,-,T2,-,-,-,-,M,-,COM,-,COM,-,M,-,M,-,-,-,M,-,-,-,-,-,-,CHX,-,T2,-,T1,-,-,0.0,11.0625
1,person_8,M,-,COM,-,-,-,-,-,-,-,-,T1,-,T2,-,T1,-,CHX,-,-,-,T1,-,-,-,-,-,T1,-,-,-,CHX,-,T1,-,-,-,-,-,-,M,-,COM,-,M,-,-,-,-,-,M,-,-,-,COM,-,M,-,COM,-,-,-,0.0,11.0625
2,person_2,-,-,M,-,-,-,-,-,-,CHX,-,T1,-,-,-,T1,-,T1,-,T1,-,-,-,CHX,-,T1,-,CHX,-,-,-,CHX,-,-,-,T1,-,T1,-,CHX,-,-,-,CHX,-,CHX,-,T1,-,-,M,-,COM,-,-,-,-,-,M,-,-,-,0.0,11.0625
3,person_5,-,T2,-,CHX,-,-,-,-,M,-,-,-,M,-,DISP,-,M,-,-,-,DISP,-,-,-,M,-,COM,-,M,-,COM,-,-,-,DISP,-,-,-,-,T1,-,T2,-,T2,-,T2,-,-,-,-,-,-,-,-,M,-,COM,-,COM,-,DISP,-,0.0,11.0625
4,person_1,-,CHX,-,T1,-,-,-,-,-,-,M,-,M,-,DISP,-,COM,-,M,-,-,-,-,T2,-,-,-,T1,-,T1,-,CHX,-,-,-,-,-,-,M,-,M,-,M,-,M,-,-,-,DISP,-,-,-,-,-,-,T2,-,T2,-,CHX,-,-,0.0,11.0625
5,person_3,COM,-,COM,-,-,-,DISP,-,COM,-,M,-,COM,-,-,-,M,-,DISP,-,-,-,COM,-,M,-,-,-,M,-,M,-,M,-,-,-,-,T2,-,T2,-,CHX,-,-,-,T2,-,-,-,-,COM,-,M,-,-,-,M,-,M,-,DISP,-,0.0,11.0625
6,person_7,COM,-,M,-,M,-,-,-,-,CHX,-,T2,-,T2,-,T1,-,T2,-,-,-,-,-,-,COM,-,-,-,COM,-,M,-,DISP,-,-,-,M,-,-,-,COM,-,-,-,-,-,M,-,-,-,-,-,M,-,M,-,-,-,M,-,M,-,0.0,11.0625
7,person_6,-,-,-,T2,-,T1,-,-,COM,-,-,-,COM,-,M,-,COM,-,-,-,-,-,-,-,-,-,M,-,COM,-,M,-,-,-,-,-,-,T1,-,-,-,-,-,CHX,-,T1,-,-,-,T1,-,T1,-,T1,-,T2,-,CHX,-,CHX,-,T1,0.0,11.0625
8,person_11,-,T1,-,T2,-,-,-,T1,-,T2,-,CHX,-,T1,-,T1,-,T1,-,-,-,-,M,-,COM,-,M,-,COM,-,COM,-,-,-,-,-,-,-,COM,-,M,-,COM,-,COM,-,-,-,-,-,-,-,-,-,M,-,COM,-,-,-,-,-,0.0,11.0625
9,person_9,COM,-,-,-,DISP,-,-,-,M,-,COM,-,COM,-,DISP,-,-,-,-,-,M,-,M,-,-,-,-,-,-,-,M,-,-,-,M,-,COM,-,M,-,COM,-,COM,-,-,-,DISP,-,-,-,-,CHX,-,T2,-,T1,-,T1,-,CHX,-,-,0.0,11.0625
