,Nurse,2023-12-01-mañana,2023-12-01-tarde,2023-12-02-mañana,2023-12-02-tarde,2023-12-03-mañana,2023-12-03-tarde,2023-12-04-mañana,2023-12-04-tarde,2023-12-05-mañana,2023-12-05-tarde,2023-12-06-mañana,2023-12-06-tarde,2023-12-07-mañana,2023-12-07-tarde,2023-12-08-mañana,2023-12-08-tarde,2023-12-09-mañana,2023-12-09-tarde,2023-12-10-mañana,2023-12-10-tarde,2023-12-11-mañana,2023-12-11-tarde,2023-12-12-mañana,2023-12-12-tarde,2023-12-13-mañana,2023-12-13-tarde,2023-12-14-mañana,2023-12-14-tarde,2023-12-15-mañana,2023-12-15-tarde,2023-12-16-mañana,2023-12-16-tarde,2023-12-17-mañana,2023-12-17-tarde,2023-12-18-mañana,2023-12-18-tarde,2023-12-19-mañana,2023-12-19-tarde,2023-12-20-mañana,2023-12-20-tarde,2023-12-21-mañana,2023-12-21-tarde,2023-12-22-mañana,2023-12-22-tarde,2023-12-23-mañana,2023-12-23-tarde,2023-12-24-mañana,2023-12-24-tarde,2023-12-25-mañana,2023-12-25-tarde,2023-12-26-mañana,2023-12-26-tarde,2023-12-27-mañana,2023-12-27-tarde,2023-12-28-mañana,2023-12-28-tarde,2023-12-29-mañana,2023-12-29-tarde,2023-12-30-mañana,2023-12-30-tarde,2023-12-31-mañana,2023-12-31-tarde,objective_1,objective_2
0,person_5,-,-,-,-,-,-,M,-,-,-,M,-,M,-,M,-,-,-,DISP,-,-,-,M,-,-,-,M,-,M,-,-,-,M,-,-,-,-,-,-,-,-,-,-,-,COM,-,-,-,COM,-,M,-,COM,-,M,-,COM,-,DISP,-,-,-,23.0,14.5625
1,person_8,-,-,-,T1,-,-,M,-,M,-,M,-,-,-,DISP,-,M,-,-,-,-,CHX,-,T2,-,T1,-,-,-,-,-,-,-,-,COM,-,COM,-,COM,-,COM,-,M,-,-,-,M,-,-,T1,-,T1,-,T1,-,T1,-,-,-,T1,-,-,23.0,14.5625
2,person_6,-,-,M,-,-,-,-,-,COM,-,M,-,-,-,M,-,-,-,COM,-,COM,-,M,-,M,-,M,-,-,-,M,-,-,-,COM,-,COM,-,M,-,-,-,-,-,-,-,COM,-,-,T1,-,T2,-,T2,-,-,-,-,-,-,-,-,23.0,14.5625
3,person_1,-,T2,-,-,-,T1,-,-,-,-,COM,-,-,-,-,-,-,-,M,-,M,-,M,-,-,-,COM,-,COM,-,-,-,DISP,-,-,CHX,-,CHX,-,-,-,CHX,-,CHX,-,-,-,-,M,-,COM,-,-,-,M,-,M,-,M,-,-,-,23.0,14.5625
4,person_11,M,-,-,-,M,-,-,CHX,-,T2,-,CHX,-,-,-,-,-,T1,-,-,M,-,-,-,COM,-,-,-,M,-,-,-,-,-,-,T1,-,T2,-,CHX,-,-,-,-,-,-,-,T1,-,-,COM,-,M,-,-,-,M,-,-,-,COM,-,23.0,14.5625
5,person_7,-,CHX,-,-,-,-,COM,-,M,-,-,-,COM,-,-,-,COM,-,-,-,-,CHX,-,-,-,T2,-,CHX,-,T1,-,-,-,T1,-,-,-,-,-,-,-,-,COM,-,DISP,-,-,-,DISP,-,M,-,M,-,M,-,M,-,-,-,M,-,23.0,14.5625
6,person_13,-,-,-,-,DISP,-,M,-,COM,-,-,-,M,-,COM,-,M,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,COM,-,M,-,M,-,M,-,M,-,M,-,M,-,-,-,-,-,-,-,-,CHX,-,CHX,-,T2,-,-,-,-,23.0,14.5625
7,person_3,-,CHX,-,-,-,-,-,T2,-,CHX,-,-,-,T1,-,T1,-,-,-,T1,-,-,-,-,-,-,M,-,COM,-,M,-,-,-,M,-,M,-,M,-,M,-,-,-,-,-,DISP,-,-,-,-,-,-,CHX,-,-,-,T1,-,-,-,-,23.0,14.5625
8,person_2,-,-,-,-,COM,-,-,CHX,-,-,-,-,-,CHX,-,-,-,-,-,-,-,T2,-,CHX,-,CHX,-,T2,-,T2,-,-,-,T1,-,T1,-,-,-,T1,-,CHX,-,T2,-,T1,-,-,-,T1,-,CHX,-,-,-,T2,-,CHX,-,-,-,T1,23.0,14.5625
9,person_12,M,-,COM,-,-,-,COM,-,-,-,-,-,COM,-,-,-,DISP,-,-,-,-,T1,-,CHX,-,-,-,CHX,-,CHX,-,T1,-,-,-,-,-,CHX,-,-,-,T1,-,CHX,-,-,-,-,-,-,-,-,-,-,COM,-,-,-,M,-,-,-,23.0,14.5625
