,Nurse,2022-03-01-mañana,2022-03-01-tarde,2022-03-02-mañana,2022-03-02-tarde,2022-03-03-mañana,2022-03-03-tarde,2022-03-04-mañana,2022-03-04-tarde,2022-03-05-mañana,2022-03-05-tarde,2022-03-06-mañana,2022-03-06-tarde,2022-03-07-mañana,2022-03-07-tarde,2022-03-08-mañana,2022-03-08-tarde,2022-03-09-mañana,2022-03-09-tarde,2022-03-10-mañana,2022-03-10-tarde,2022-03-11-mañana,2022-03-11-tarde,2022-03-12-mañana,2022-03-12-tarde,2022-03-13-mañana,2022-03-13-tarde,2022-03-14-mañana,2022-03-14-tarde,2022-03-15-mañana,2022-03-15-tarde,2022-03-16-mañana,2022-03-16-tarde,2022-03-17-mañana,2022-03-17-tarde,2022-03-18-mañana,2022-03-18-tarde,2022-03-19-mañana,2022-03-19-tarde,2022-03-20-mañana,2022-03-20-tarde,2022-03-21-mañana,2022-03-21-tarde,2022-03-22-mañana,2022-03-22-tarde,2022-03-23-mañana,2022-03-23-tarde,2022-03-24-mañana,2022-03-24-tarde,2022-03-25-mañana,2022-03-25-tarde,2022-03-26-mañana,2022-03-26-tarde,2022-03-27-mañana,2022-03-27-tarde,2022-03-28-mañana,2022-03-28-tarde,2022-03-29-mañana,2022-03-29-tarde,2022-03-30-mañana,2022-03-30-tarde,2022-03-31-mañana,2022-03-31-tarde,objective_1,objective_2
0,person_2,M,-,M,-,-,-,-,-,-,-,M,-,M,-,M,-,-,-,-,-,-,-,M,-,-,-,-,-,-,CHX,-,-,-,-,-,CHX,-,-,-,-,-,-,M,-,-,-,M,-,M,-,-,-,M,-,M,-,COM,-,M,-,M,-,0.0,12.625
1,person_9,M,-,M,-,M,-,COM,-,DISP,-,-,-,COM,-,-,-,M,-,M,-,M,-,DISP,-,-,-,-,-,-,T2,-,T1,-,CHX,-,T2,-,-,-,-,-,-,-,-,M,-,M,-,COM,-,M,-,-,-,-,-,-,T1,-,T2,-,T1,0.0,12.625
2,person_3,COM,-,COM,-,COM,-,M,-,-,-,DISP,-,-,T1,-,-,-,T2,-,CHX,-,T2,-,-,-,-,-,-,M,-,M,-,M,-,COM,-,-,-,DISP,-,-,T1,-,-,-,T2,-,T1,-,T1,-,-,-,-,-,-,-,T1,-,CHX,-,T1,0.0,12.625
3,person_1,M,-,-,-,-,-,M,-,M,-,-,-,-,-,-,-,M,-,COM,-,M,-,-,-,M,-,M,-,M,-,COM,-,M,-,-,-,-,-,M,-,-,-,-,CHX,-,CHX,-,-,-,-,-,-,-,-,COM,-,M,-,COM,-,COM,-,0.0,12.625
4,person_4,-,CHX,-,-,-,-,-,T2,-,T1,-,-,COM,-,M,-,COM,-,-,-,COM,-,-,-,-,-,-,T1,-,-,-,T2,-,-,-,-,-,-,-,-,-,T1,-,T1,-,T1,-,CHX,-,CHX,-,-,-,T1,-,CHX,-,T2,-,T1,-,-,0.0,12.625
5,person_5,-,T1,-,T1,-,T1,-,CHX,-,-,-,-,-,T2,-,-,-,CHX,-,T1,-,CHX,-,-,-,-,M,-,COM,-,-,-,COM,-,M,-,DISP,-,-,-,DISP,-,COM,-,-,-,-,-,M,-,-,-,-,-,-,T2,-,-,-,-,-,T1,0.0,12.625
6,person_6,-,T2,-,CHX,-,CHX,-,CHX,-,-,-,-,-,CHX,-,T1,-,-,-,T2,-,T1,-,-,-,-,-,T2,-,-,-,-,-,-,-,T1,-,-,-,-,DISP,-,-,-,COM,-,-,-,-,-,DISP,-,-,-,-,T1,-,T2,-,CHX,-,T1,0.0,12.625
7,person_10,-,-,-,-,-,T2,-,-,-,-,-,T1,-,-,-,CHX,-,T1,-,-,-,-,-,-,-,T1,-,CHX,-,-,-,T2,-,T2,-,T1,-,-,-,T1,-,-,M,-,M,-,COM,-,-,-,-,-,-,-,M,-,M,-,M,-,M,-,0.0,12.625
8,person_8,-,-,-,-,M,-,M,-,-,-,-,-,-,T2,-,T2,-,-,-,-,-,T1,-,T1,-,-,-,T1,-,T1,-,CHX,-,T1,-,T1,-,T1,-,-,-,T1,-,T2,-,-,-,T2,-,T2,-,T1,-,-,-,CHX,-,CHX,-,T1,-,CHX,0.0,12.625
9,person_7,-,-,-,T2,-,-,-,T1,-,-,-,-,M,-,COM,-,-,-,M,-,-,-,-,-,DISP,-,COM,-,COM,-,M,-,-,-,M,-,M,-,-,-,M,-,-,-,-,-,-,-,M,-,-,-,DISP,-,-,-,-,-,-,-,-,T2,0.0,12.625
10,person_2,COM,-,M,-,M,-,M,-,-,-,DISP,-,M,-,M,-,M,-,M,-,M,-,DISP,-,-,-,M,-,M,-,M,-,M,-,M,-,-,-,-,-,-,-,M,-,M,-,COM,-,M,-,-,-,M,-,M,-,M,-,M,-,M,-,2.0,11.3125
11,person_9,COM,-,M,-,COM,-,M,-,-,-,M,-,M,-,-,-,COM,-,COM,-,COM,-,-,-,DISP,-,-,-,M,-,COM,-,COM,-,M,-,M,-,-,-,-,T1,-,-,-,T2,-,CHX,-,T1,-,-,-,-,COM,-,COM,-,M,-,COM,-,2.0,11.3125
12,person_3,COM,-,COM,-,M,-,M,-,M,-,-,-,COM,-,-,-,M,-,M,-,M,-,-,-,M,-,-,-,COM,-,COM,-,M,-,COM,-,-,-,M,-,-,T1,-,-,-,T1,-,CHX,-,CHX,-,-,-,-,-,-,-,CHX,-,T1,-,T1,2.0,11.3125
