,Nurse,2023-03-01-mañana,2023-03-01-tarde,2023-03-02-mañana,2023-03-02-tarde,2023-03-03-mañana,2023-03-03-tarde,2023-03-04-mañana,2023-03-04-tarde,2023-03-05-mañana,2023-03-05-tarde,2023-03-06-mañana,2023-03-06-tarde,2023-03-07-mañana,2023-03-07-tarde,2023-03-08-mañana,2023-03-08-tarde,2023-03-09-mañana,2023-03-09-tarde,2023-03-10-mañana,2023-03-10-tarde,2023-03-11-mañana,2023-03-11-tarde,2023-03-12-mañana,2023-03-12-tarde,2023-03-13-mañana,2023-03-13-tarde,2023-03-14-mañana,2023-03-14-tarde,2023-03-15-mañana,2023-03-15-tarde,2023-03-16-mañana,2023-03-16-tarde,2023-03-17-mañana,2023-03-17-tarde,2023-03-18-mañana,2023-03-18-tarde,2023-03-19-mañana,2023-03-19-tarde,2023-03-20-mañana,2023-03-20-tarde,2023-03-21-mañana,2023-03-21-tarde,2023-03-22-mañana,2023-03-22-tarde,2023-03-23-mañana,2023-03-23-tarde,2023-03-24-mañana,2023-03-24-tarde,2023-03-25-mañana,2023-03-25-tarde,2023-03-26-mañana,2023-03-26-tarde,2023-03-27-mañana,2023-03-27-tarde,2023-03-28-mañana,2023-03-28-tarde,2023-03-29-mañana,2023-03-29-tarde,2023-03-30-mañana,2023-03-30-tarde,2023-03-31-mañana,2023-03-31-tarde,objective_1,objective_2
0,person_7,-,CHX,-,CHX,-,CHX,-,-,-,T1,-,T1,-,T2,-,-,-,CHX,-,T1,-,-,-,-,-,CHX,-,-,-,T1,-,CHX,-,CHX,-,-,-,T1,-,T1,-,-,-,-,-,CHX,-,T1,-,T1,-,-,M,-,-,-,M,-,M,-,M,-,1.0,13.5625
1,person_1,-,-,-,T1,-,CHX,-,T1,-,-,-,CHX,-,-,-,T1,-,CHX,-,T2,-,-,-,T1,-,T2,-,-,-,-,-,T2,-,T2,-,T1,-,-,-,T1,-,T1,-,T2,-,T2,-,T2,-,-,-,-,-,CHX,-,CHX,-,-,-,T1,-,T1,1.0,13.5625
2,person_4,M,-,COM,-,-,-,-,-,M,-,-,-,COM,-,M,-,M,-,-,-,DISP,-,-,-,M,-,M,-,M,-,COM,-,M,-,-,-,DISP,-,-,-,-,T2,-,T1,-,CHX,-,-,-,-,-,-,-,-,-,-,-,T2,-,CHX,-,CHX,1.0,13.5625
3,person_9,M,-,M,-,-,-,M,-,-,-,-,CHX,-,CHX,-,CHX,-,T1,-,-,-,-,-,-,-,-,M,-,COM,-,M,-,M,-,M,-,-,-,DISP,-,COM,-,-,-,-,-,M,-,DISP,-,-,-,-,-,-,CHX,-,T1,-,-,-,-,1.0,13.5625
4,person_3,-,-,M,-,M,-,DISP,-,-,-,M,-,M,-,COM,-,M,-,COM,-,-,-,M,-,-,-,-,CHX,-,-,-,-,-,-,-,-,-,-,DISP,-,-,-,COM,-,-,-,COM,-,-,-,-,-,-,-,M,-,M,-,M,-,M,-,1.0,13.5625
5,person_8,COM,-,COM,-,M,-,-,-,-,-,COM,-,M,-,-,-,M,-,M,-,M,-,-,-,M,-,-,-,M,-,M,-,COM,-,-,-,M,-,DISP,-,COM,-,-,-,COM,-,M,-,-,-,M,-,-,CHX,-,-,-,CHX,-,T2,-,T2,1.0,13.5625
6,person_10,-,T2,-,CHX,-,-,-,-,-,-,-,T2,-,T1,-,T2,-,T2,-,CHX,-,T1,-,-,-,T1,-,CHX,-,CHX,-,-,-,T1,-,-,-,T1,-,-,-,CHX,-,CHX,-,-,-,CHX,-,-,-,T1,-,T1,-,T2,-,CHX,-,CHX,-,CHX,1.0,13.5625
7,person_6,COM,-,M,-,COM,-,-,-,DISP,-,-,CHX,-,CHX,-,CHX,-,-,-,CHX,-,-,-,-,-,CHX,-,T1,-,T2,-,CHX,-,-,-,-,-,-,M,-,M,-,M,-,M,-,M,-,-,-,DISP,-,-,T2,-,T1,-,T2,-,-,-,T2,1.0,13.5625
8,person_5,-,T1,-,T2,-,T2,-,-,-,-,M,-,COM,-,M,-,COM,-,M,-,-,-,-,-,-,-,-,T2,-,CHX,-,T1,-,CHX,-,-,-,-,-,-,-,CHX,-,CHX,-,T1,-,CHX,-,-,-,-,COM,-,COM,-,COM,-,COM,-,-,-,1.0,13.5625
9,person_2,-,CHX,-,-,-,T1,-,-,-,-,-,-,-,-,-,-,COM,-,M,-,-,-,DISP,-,COM,-,COM,-,-,-,-,-,M,-,DISP,-,-,-,DISP,-,M,-,M,-,M,-,COM,-,M,-,-,-,M,-,M,-,-,-,-,-,COM,-,1.0,13.5625
