,Nurse,2022-03-01-mañana,2022-03-01-tarde,2022-03-02-mañana,2022-03-02-tarde,2022-03-03-mañana,2022-03-03-tarde,2022-03-04-mañana,2022-03-04-tarde,2022-03-05-mañana,2022-03-05-tarde,2022-03-06-mañana,2022-03-06-tarde,2022-03-07-mañana,2022-03-07-tarde,2022-03-08-mañana,2022-03-08-tarde,2022-03-09-mañana,2022-03-09-tarde,2022-03-10-mañana,2022-03-10-tarde,2022-03-11-mañana,2022-03-11-tarde,2022-03-12-mañana,2022-03-12-tarde,2022-03-13-mañana,2022-03-13-tarde,2022-03-14-mañana,2022-03-14-tarde,2022-03-15-mañana,2022-03-15-tarde,2022-03-16-mañana,2022-03-16-tarde,2022-03-17-mañana,2022-03-17-tarde,2022-03-18-mañana,2022-03-18-tarde,2022-03-19-mañana,2022-03-19-tarde,2022-03-20-mañana,2022-03-20-tarde,2022-03-21-mañana,2022-03-21-tarde,2022-03-22-mañana,2022-03-22-tarde,2022-03-23-mañana,2022-03-23-tarde,2022-03-24-mañana,2022-03-24-tarde,2022-03-25-mañana,2022-03-25-tarde,2022-03-26-mañana,2022-03-26-tarde,2022-03-27-mañana,2022-03-27-tarde,2022-03-28-mañana,2022-03-28-tarde,2022-03-29-mañana,2022-03-29-tarde,2022-03-30-mañana,2022-03-30-tarde,2022-03-31-mañana,2022-03-31-tarde,objective_1,objective_2
0,person_3,COM,-,COM,-,M,-,COM,-,DISP,-,-,-,-,T1,-,-,-,CHX,-,T1,-,T2,-,-,-,-,M,-,-,-,-,-,M,-,COM,-,M,-,-,-,-,-,-,-,COM,-,COM,-,M,-,DISP,-,-,-,-,CHX,-,-,-,-,-,CHX,2.0,11.3125
1,person_5,-,-,-,T1,-,T1,-,T2,-,-,-,-,-,-,M,-,COM,-,COM,-,COM,-,-,-,M,-,M,-,-,-,M,-,-,-,COM,-,DISP,-,-,-,-,-,COM,-,COM,-,M,-,COM,-,-,-,DISP,-,-,-,-,-,-,T1,-,T2,2.0,11.3125
2,person_6,-,-,-,CHX,-,-,-,T1,-,-,-,T1,-,-,-,T2,-,T1,-,T2,-,CHX,-,-,-,-,-,T1,-,CHX,-,T2,-,T1,-,T1,-,-,-,T1,-,-,-,CHX,-,CHX,-,T2,-,CHX,-,-,-,T1,-,-,-,-,-,-,-,-,2.0,11.3125
3,person_2,M,-,M,-,M,-,-,-,-,-,M,-,COM,-,COM,-,M,-,M,-,M,-,M,-,-,-,M,-,M,-,M,-,COM,-,M,-,-,-,-,-,DISP,-,M,-,-,-,M,-,M,-,-,-,M,-,M,-,COM,-,M,-,M,-,2.0,11.3125
4,person_1,M,-,M,-,COM,-,M,-,M,-,-,-,M,-,-,-,COM,-,M,-,-,-,DISP,-,-,-,COM,-,-,-,M,-,M,-,-,-,-,-,M,-,DISP,-,M,-,M,-,-,-,COM,-,-,-,-,-,-,T2,-,T1,-,T2,-,T1,2.0,11.3125
5,person_4,-,T2,-,T2,-,CHX,-,CHX,-,-,-,T1,-,CHX,-,T1,-,T2,-,CHX,-,-,-,T1,-,-,-,-,COM,-,COM,-,COM,-,-,-,-,-,-,-,-,T1,-,T2,-,T2,-,T1,-,T2,-,T1,-,-,COM,-,M,-,COM,-,COM,-,2.0,11.3125
6,person_8,COM,-,COM,-,M,-,M,-,-,-,DISP,-,-,-,-,-,-,-,-,-,COM,-,-,-,DISP,-,-,CHX,-,T1,-,CHX,-,T2,-,T2,-,-,-,-,DISP,-,-,-,M,-,M,-,COM,-,M,-,-,-,-,-,-,CHX,-,-,-,CHX,2.0,11.3125
7,person_9,-,CHX,-,-,-,-,-,-,-,-,-,-,M,-,M,-,M,-,-,-,M,-,-,-,-,-,COM,-,M,-,M,-,M,-,M,-,-,-,DISP,-,-,-,-,T1,-,T1,-,CHX,-,T1,-,-,-,-,M,-,M,-,M,-,M,-,2.0,11.3125
8,person_7,-,T1,-,-,-,T2,-,CHX,-,T1,-,-,-,T2,-,CHX,-,-,-,-,-,T1,-,-,-,T1,-,T2,-,T2,-,T1,-,CHX,-,CHX,-,T1,-,-,M,-,M,-,-,-,COM,-,M,-,-,-,-,-,-,T1,-,T2,-,CHX,-,T1,2.0,11.3125
9,person_3,M,-,COM,-,COM,-,COM,-,M,-,-,-,-,T1,-,-,-,T1,-,T2,-,CHX,-,-,-,-,COM,-,-,-,M,-,M,-,M,-,-,-,DISP,-,DISP,-,M,-,M,-,M,-,-,-,-,-,DISP,-,-,CHX,-,CHX,-,CHX,-,T2,4.0,9.625
