,Nurse,2022-08-01-mañana,2022-08-01-tarde,2022-08-02-mañana,2022-08-02-tarde,2022-08-03-mañana,2022-08-03-tarde,2022-08-04-mañana,2022-08-04-tarde,2022-08-05-mañana,2022-08-05-tarde,2022-08-06-mañana,2022-08-06-tarde,2022-08-07-mañana,2022-08-07-tarde,2022-08-08-mañana,2022-08-08-tarde,2022-08-09-mañana,2022-08-09-tarde,2022-08-10-mañana,2022-08-10-tarde,2022-08-11-mañana,2022-08-11-tarde,2022-08-12-mañana,2022-08-12-tarde,2022-08-13-mañana,2022-08-13-tarde,2022-08-14-mañana,2022-08-14-tarde,2022-08-15-mañana,2022-08-15-tarde,2022-08-16-mañana,2022-08-16-tarde,2022-08-17-mañana,2022-08-17-tarde,2022-08-18-mañana,2022-08-18-tarde,2022-08-19-mañana,2022-08-19-tarde,2022-08-20-mañana,2022-08-20-tarde,2022-08-21-mañana,2022-08-21-tarde,2022-08-22-mañana,2022-08-22-tarde,2022-08-23-mañana,2022-08-23-tarde,2022-08-24-mañana,2022-08-24-tarde,2022-08-25-mañana,2022-08-25-tarde,2022-08-26-mañana,2022-08-26-tarde,2022-08-27-mañana,2022-08-27-tarde,2022-08-28-mañana,2022-08-28-tarde,2022-08-29-mañana,2022-08-29-tarde,2022-08-30-mañana,2022-08-30-tarde,2022-08-31-mañana,2022-08-31-tarde,objective_1,objective_2
0,person_5,M,-,COM,-,M,-,M,-,COM,-,M,-,-,-,-,-,M,-,M,-,COM,-,M,-,M,-,-,-,DISP,-,COM,-,COM,-,M,-,M,-,DISP,-,-,-,-,-,-,CHX,-,T1,-,CHX,-,T1,-,-,-,-,-,T1,-,T1,-,CHX,4.0,9.625
1,person_3,M,-,M,-,M,-,-,-,M,-,-,-,M,-,M,-,M,-,M,-,-,-,-,-,-,-,M,-,-,-,-,CHX,-,-,-,-,-,T1,-,-,-,-,M,-,M,-,-,-,M,-,-,-,-,-,DISP,-,M,-,COM,-,M,-,4.0,9.625
2,person_4,-,-,-,CHX,-,CHX,-,-,-,CHX,-,T1,-,-,M,-,COM,-,COM,-,M,-,COM,-,DISP,-,-,-,-,-,-,-,-,T2,-,T2,-,CHX,-,-,-,-,-,T1,-,CHX,-,CHX,-,T1,-,T2,-,T1,-,-,-,-,-,CHX,-,-,4.0,9.625
3,person_9,-,-,-,-,-,-,-,-,M,-,DISP,-,-,-,COM,-,M,-,-,-,COM,-,M,-,-,-,DISP,-,-,-,-,T1,-,T1,-,T2,-,T2,-,-,-,-,COM,-,-,-,M,-,M,-,COM,-,DISP,-,-,-,-,-,-,T2,-,T1,4.0,9.625
4,person_2,-,CHX,-,-,-,T1,-,CHX,-,CHX,-,-,-,-,M,-,COM,-,M,-,M,-,-,-,-,-,-,-,DISP,-,M,-,M,-,M,-,-,-,-,-,DISP,-,M,-,M,-,M,-,M,-,M,-,-,-,-,-,M,-,M,-,M,-,4.0,9.625
5,person_10,COM,-,M,-,COM,-,M,-,COM,-,-,-,DISP,-,-,T2,-,T2,-,T2,-,CHX,-,-,-,-,-,-,-,-,M,-,-,-,-,-,COM,-,-,-,M,-,COM,-,COM,-,-,-,COM,-,M,-,-,-,M,-,-,CHX,-,T1,-,T2,4.0,9.625
6,person_1,-,T2,-,T2,-,CHX,-,-,-,T1,-,T1,-,-,-,T2,-,-,-,-,-,T2,-,T2,-,-,-,-,M,-,COM,-,M,-,COM,-,M,-,M,-,-,-,M,-,M,-,COM,-,M,-,M,-,M,-,-,-,M,-,M,-,COM,-,4.0,9.625
7,person_8,-,T1,-,T1,-,-,-,T1,-,-,-,-,-,T1,-,-,-,-,-,T1,-,-,-,T1,-,-,-,-,-,-,-,CHX,-,CHX,-,T1,-,-,-,T1,-,-,-,-,-,T1,-,T2,-,T1,-,-,-,-,-,T1,-,T1,-,T2,-,-,4.0,9.625
8,person_6,COM,-,COM,-,M,-,COM,-,M,-,-,-,-,-,-,T1,-,CHX,-,CHX,-,-,-,CHX,-,-,-,T1,-,T1,-,T2,-,T2,-,CHX,-,-,-,-,-,T1,-,T2,-,T2,-,T1,-,-,-,-,-,-,-,-,-,T2,-,T2,-,-,4.0,9.625
9,person_7,-,T2,-,T2,-,T2,-,T2,-,T2,-,-,-,T1,-,CHX,-,T1,-,CHX,-,T1,-,-,-,T1,-,-,-,-,-,-,-,T2,-,-,-,-,-,-,-,T1,-,CHX,-,-,-,-,-,T2,-,CHX,-,-,-,-,COM,-,-,-,-,-,4.0,9.625
