,Nurse,2022-12-01-mañana,2022-12-01-tarde,2022-12-02-mañana,2022-12-02-tarde,2022-12-03-mañana,2022-12-03-tarde,2022-12-04-mañana,2022-12-04-tarde,2022-12-05-mañana,2022-12-05-tarde,2022-12-06-mañana,2022-12-06-tarde,2022-12-07-mañana,2022-12-07-tarde,2022-12-08-mañana,2022-12-08-tarde,2022-12-09-mañana,2022-12-09-tarde,2022-12-10-mañana,2022-12-10-tarde,2022-12-11-mañana,2022-12-11-tarde,2022-12-12-mañana,2022-12-12-tarde,2022-12-13-mañana,2022-12-13-tarde,2022-12-14-mañana,2022-12-14-tarde,2022-12-15-mañana,2022-12-15-tarde,2022-12-16-mañana,2022-12-16-tarde,2022-12-17-mañana,2022-12-17-tarde,2022-12-18-mañana,2022-12-18-tarde,2022-12-19-mañana,2022-12-19-tarde,2022-12-20-mañana,2022-12-20-tarde,2022-12-21-mañana,2022-12-21-tarde,2022-12-22-mañana,2022-12-22-tarde,2022-12-23-mañana,2022-12-23-tarde,2022-12-24-mañana,2022-12-24-tarde,2022-12-25-mañana,2022-12-25-tarde,2022-12-26-mañana,2022-12-26-tarde,2022-12-27-mañana,2022-12-27-tarde,2022-12-28-mañana,2022-12-28-tarde,2022-12-29-mañana,2022-12-29-tarde,2022-12-30-mañana,2022-12-30-tarde,2022-12-31-mañana,2022-12-31-tarde,objective_1,objective_2
0,person_13,M,-,M,-,-,-,-,-,M,-,M,-,M,-,-,-,COM,-,DISP,-,-,-,M,-,-,-,-,-,-,-,COM,-,COM,-,-,-,M,-,M,-,-,-,-,-,COM,-,COM,-,-,-,M,-,COM,-,-,-,M,-,M,-,COM,-,10.0,21.4375
1,person_7,COM,-,-,-,M,-,-,-,COM,-,-,-,COM,-,DISP,-,M,-,-,-,COM,-,-,-,M,-,COM,-,COM,-,M,-,DISP,-,-,-,-,CHX,-,CHX,-,T1,-,T1,-,T1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,DISP,-,10.0,21.4375
2,person_14,COM,-,COM,-,M,-,-,-,M,-,COM,-,COM,-,-,-,-,-,-,-,DISP,-,M,-,M,-,COM,-,-,-,COM,-,-,-,DISP,-,COM,-,M,-,M,-,COM,-,M,-,M,-,-,-,COM,-,-,-,M,-,M,-,COM,-,-,-,10.0,21.4375
3,person_11,-,-,-,CHX,-,-,-,-,-,-,-,T1,-,-,-,-,-,T2,-,-,-,-,-,T1,-,T2,-,-,-,-,-,T2,-,-,-,T1,-,T2,-,T2,-,-,-,T2,-,CHX,-,T1,-,-,-,T1,-,CHX,-,-,-,-,-,CHX,-,-,10.0,21.4375
4,person_12,-,T1,-,T2,-,-,-,T1,-,-,M,-,M,-,DISP,-,M,-,-,-,M,-,COM,-,-,-,M,-,M,-,M,-,-,-,COM,-,-,-,-,-,M,-,M,-,M,-,-,-,COM,-,-,-,-,-,-,CHX,-,CHX,-,-,-,-,10.0,21.4375
5,person_5,COM,-,-,-,-,-,M,-,-,T2,-,CHX,-,CHX,-,-,-,T1,-,T1,-,-,-,CHX,-,T2,-,T1,-,T2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,M,-,-,-,-,-,-,-,-,-,10.0,21.4375
6,person_6,-,-,COM,-,-,-,DISP,-,-,T1,-,T2,-,-,-,T1,-,CHX,-,-,-,-,-,-,COM,-,-,-,-,-,COM,-,-,-,M,-,-,CHX,-,T1,-,T2,-,CHX,-,T2,-,-,-,-,-,T2,-,T1,-,CHX,-,-,-,CHX,-,T2,10.0,21.4375
7,person_3,M,-,-,-,-,-,COM,-,COM,-,COM,-,COM,-,-,-,M,-,-,-,M,-,M,-,COM,-,-,-,M,-,COM,-,M,-,-,-,COM,-,COM,-,COM,-,-,-,COM,-,-,-,DISP,-,-,CHX,-,CHX,-,-,-,CHX,-,-,-,-,10.0,21.4375
8,person_10,-,CHX,-,T2,-,-,-,-,M,-,-,-,-,-,M,-,-,-,M,-,-,-,-,-,-,T2,-,T1,-,CHX,-,T1,-,-,-,-,-,-,-,-,M,-,COM,-,M,-,DISP,-,-,-,-,T2,-,T2,-,T2,-,T1,-,T2,-,T1,10.0,21.4375
9,person_8,-,-,M,-,DISP,-,-,-,-,CHX,-,CHX,-,CHX,-,-,-,-,-,-,-,-,-,-,M,-,M,-,M,-,M,-,-,-,M,-,-,-,-,-,-,-,-,-,COM,-,-,-,M,-,M,-,-,-,M,-,COM,-,M,-,M,-,10.0,21.4375
10,person_1,-,CHX,-,T1,-,-,-,-,-,T2,-,-,-,T2,-,-,-,-,-,-,-,-,-,CHX,-,CHX,-,CHX,-,T2,-,-,-,-,-,-,-,T1,-,CHX,-,CHX,-,CHX,-,CHX,-,-,-,T1,-,CHX,-,-,-,T1,-,T2,-,T1,-,T2,10.0,21.4375
11,person_2,COM,-,M,-,COM,-,-,-,-,-,M,-,M,-,COM,-,COM,-,M,-,-,-,COM,-,M,-,M,-,COM,-,M,-,M,-,-,-,M,-,M,-,COM,-,M,-,M,-,M,-,-,-,-,-,COM,-,M,-,M,-,COM,-,-,-,10.0,21.4375
12,person_9,-,T2,-,CHX,-,T1,-,-,-,CHX,-,-,-,T1,-,-,-,CHX,-,-,-,T1,-,-,-,T1,-,T2,-,T1,-,CHX,-,T1,-,-,-,-,-,-,-,CHX,-,T1,-,-,-,-,-,-,COM,-,M,-,COM,-,COM,-,M,-,-,-,10.0,21.4375
13,person_4,M,-,M,-,-,-,M,-,COM,-,COM,-,-,-,M,-,-,-,COM,-,-,-,-,T2,-,CHX,-,CHX,-,CHX,-,CHX,-,-,-,-,M,-,COM,-,COM,-,M,-,-,-,-,-,M,-,M,-,M,-,COM,-,COM,-,-,-,M,-,10.0,21.4375
