,Nurse,2022-07-01-mañana,2022-07-01-tarde,2022-07-02-mañana,2022-07-02-tarde,2022-07-03-mañana,2022-07-03-tarde,2022-07-04-mañana,2022-07-04-tarde,2022-07-05-mañana,2022-07-05-tarde,2022-07-06-mañana,2022-07-06-tarde,2022-07-07-mañana,2022-07-07-tarde,2022-07-08-mañana,2022-07-08-tarde,2022-07-09-mañana,2022-07-09-tarde,2022-07-10-mañana,2022-07-10-tarde,2022-07-11-mañana,2022-07-11-tarde,2022-07-12-mañana,2022-07-12-tarde,2022-07-13-mañana,2022-07-13-tarde,2022-07-14-mañana,2022-07-14-tarde,2022-07-15-mañana,2022-07-15-tarde,2022-07-16-mañana,2022-07-16-tarde,2022-07-17-mañana,2022-07-17-tarde,2022-07-18-mañana,2022-07-18-tarde,2022-07-19-mañana,2022-07-19-tarde,2022-07-20-mañana,2022-07-20-tarde,2022-07-21-mañana,2022-07-21-tarde,2022-07-22-mañana,2022-07-22-tarde,2022-07-23-mañana,2022-07-23-tarde,2022-07-24-mañana,2022-07-24-tarde,2022-07-25-mañana,2022-07-25-tarde,2022-07-26-mañana,2022-07-26-tarde,2022-07-27-mañana,2022-07-27-tarde,2022-07-28-mañana,2022-07-28-tarde,2022-07-29-mañana,2022-07-29-tarde,2022-07-30-mañana,2022-07-30-tarde,2022-07-31-mañana,2022-07-31-tarde,objective_1,objective_2
0,person_2,-,T1,-,T1,-,-,DISP,-,M,-,COM,-,COM,-,COM,-,-,-,M,-,M,-,COM,-,M,-,-,-,COM,-,-,-,DISP,-,-,T1,-,CHX,-,T1,-,T2,-,-,-,-,-,-,COM,-,COM,-,M,-,-,-,COM,-,M,-,-,-,8.0,12.0625
1,person_4,-,-,-,-,-,-,DISP,-,-,-,COM,-,COM,-,M,-,-,-,-,-,-,T1,-,T1,-,-,-,CHX,-,T1,-,-,-,T1,-,T1,-,-,-,T1,-,CHX,-,T1,-,-,-,T1,-,-,M,-,-,-,M,-,COM,-,-,-,DISP,-,8.0,12.0625
2,person_6,-,T2,-,-,-,-,-,-,-,-,-,-,COM,-,M,-,DISP,-,-,-,M,-,COM,-,-,-,M,-,COM,-,M,-,-,-,M,-,-,-,-,-,M,-,M,-,M,-,-,-,COM,-,COM,-,COM,-,M,-,M,-,-,-,M,-,8.0,12.0625
3,person_3,M,-,M,-,-,-,-,-,M,-,M,-,M,-,-,-,-,-,DISP,-,-,T2,-,T2,-,T2,-,T2,-,-,-,-,-,-,-,T2,-,T1,-,T1,-,T1,-,T2,-,-,-,-,M,-,M,-,M,-,M,-,-,-,DISP,-,-,-,8.0,12.0625
4,person_1,M,-,M,-,-,-,M,-,COM,-,M,-,M,-,-,-,M,-,-,-,-,CHX,-,CHX,-,T1,-,-,-,T2,-,T1,-,-,-,CHX,-,T2,-,T1,-,CHX,-,-,-,-,-,-,-,T2,-,CHX,-,T1,-,-,-,T1,-,T1,-,-,8.0,12.0625
5,person_5,M,-,DISP,-,-,-,-,-,-,CHX,-,-,-,-,-,CHX,-,-,-,T1,-,-,-,-,-,-,M,-,M,-,DISP,-,-,-,-,-,M,-,M,-,-,-,COM,-,DISP,-,-,-,M,-,-,-,-,-,COM,-,M,-,-,-,-,-,8.0,12.0625
6,person_9,M,-,-,-,M,-,-,T1,-,-,-,T2,-,CHX,-,T2,-,-,-,-,-,CHX,-,-,-,CHX,-,T1,-,CHX,-,-,-,-,COM,-,M,-,DISP,-,M,-,-,-,-,-,DISP,-,-,T1,-,-,-,T2,-,T1,-,CHX,-,-,-,-,8.0,12.0625
7,person_8,COM,-,-,-,DISP,-,-,T1,-,T2,-,CHX,-,T1,-,-,-,-,-,-,COM,-,M,-,M,-,COM,-,-,-,-,-,M,-,M,-,COM,-,-,-,COM,-,M,-,-,-,M,-,-,T2,-,T2,-,CHX,-,CHX,-,-,-,-,-,-,8.0,12.0625
8,person_7,-,CHX,-,-,-,T1,-,-,-,T1,-,T1,-,T2,-,T1,-,T1,-,-,M,-,M,-,COM,-,-,-,M,-,-,-,-,-,-,T1,-,CHX,-,-,-,-,-,CHX,-,T1,-,-,-,CHX,-,T1,-,-,-,T2,-,T2,-,-,-,T1,8.0,12.0625
9,person_2,-,T2,-,T1,-,-,-,T1,-,CHX,-,T2,-,CHX,-,CHX,-,-,-,-,COM,-,M,-,M,-,-,-,M,-,M,-,-,-,M,-,COM,-,DISP,-,M,-,-,-,M,-,-,-,-,T1,-,CHX,-,CHX,-,-,-,T2,-,-,-,T1,10.0,11.0625
